job_title,description
Engineering Specialist - Silicon Patterns,"As a SystemC Modelling Engineer, you will play a pivotal role in advancing our product design life cycle by implementing cutting-edge development methodologies. You will be part of a collaborative engineering team focused on system modeling, simulation, and architecture analysis. Your primary responsibility will be to enable pre-silicon software development and early system validation. System Modeling: Develop and refine SystemC models of Systems-on-Chip(SoC’s) comprising subsystems, peripheral…"
Fresher – Information Technology & Programming - CoffeeWeb.com,"Job Title: Fresher – Information Technology & Programming Company: CoffeeWeb Technologies Private Limited, Bangalore Employment Type: Full-Time About CoffeeWeb: CoffeeWeb Technologies Private Limited empowers the global coffee industry with data, insights, and information solutions. We provide market data, industry news, analytics, and tools for exporters, importers, roasters, traders, and producers. Our platform helps stakeholders stay updated on trends, prices, and market developments for inf…"
OBM Software & Control System Developer (Model Based Development – Emissions & Diagnostics) - Jaguar Land Rover India,"The Team: Join JLR’s Vehicle Platform (VP) team at TBSI, supporting development of On‑Board Monitoring (OBM) models and control logic used for emissions, diagnostics and propulsion system monitoring across multiple vehicle architectures and powertrain variants. The team delivers model‑based software bundles and OBM integration models that underpin regulatory compliance and robust in‑vehicle diagnostics. The Role: This role focuses on model‑based development, integration and maintenance of OBM s…"
Software Engineer (Platform/Routing/Switching) - Arista Networks,"Arista Networks is the leader in software driven networking solutions for today’s largest Data Center (DC), Cloud, Internet/WAN, Service Provider (SP) and Campus environments. Arista has over 7500 customers ranging from the largest cloud providers, to healthcare, government, carrier, finance, education, and production web/SaaS companies. Arista's products are the foundation underpinning much of modern society's operations. Arista has ambitious plans and an unprecedented opportunity for growth a…"
Software Engineer (Platform/Routing/Switching) - Arista Networks,"Arista Networks is the leader in software driven networking solutions for today’s largest Data Center (DC), Cloud, Internet/WAN, Service Provider (SP) and Campus environments. Arista has over 7500 customers ranging from the largest cloud providers, to healthcare, government, carrier, finance, education, and production web/SaaS companies. Arista's products are the foundation underpinning much of modern society's operations. Arista has ambitious plans and an unprecedented opportunity for growth a…"
SDE 1 - GIVA,"Job Title: Software Development Engineer (SDE 1) Location: Bangalore Experience: 1–3 Years About the Role We are looking for a passionate Software Development Engineer (SDE 1) with 1–3 years of experience to join our tech team. The ideal candidate should have a strong foundation in computer science fundamentals and hands-on experience in building scalable applications. Key Responsibilities Design, develop, and maintain high-quality software solutions Write clean, efficient, and scalable code Co…"
Lead Engineer – Automotive Controller Systems - Mahindra and Mahindra Limited [Automotive and Farm Equipment Business],"About the Company We are looking for an experienced Team Leader with strong expertise in automotive controller systems and AUTOSAR‑based software development to lead system‑level development and a small technical team. About the Role Lead Engineer – Automotive Controller Systems Responsibilities Lead system‑level development of automotive electronic controllers Develop and manage system and software requirements Guide basic hardware development, with strong focus on schematic understanding Driv…"
Technical Project Manager_Full Stack - LearningMate,"Job Title: Technical Project Manager (Full Stack) Work Experience: 11-14 Years Employment Type: Permanent Location: Mumbai Job Details: Project Planning and Execution: Lead the planning, execution, and delivery of software development projects, ensuring they are completed on time, within scope, and within budget. Define project scope, goals, and deliverables in collaboration with stakeholders. Develop detailed project plans, timelines, and resource allocation. Agile Project Execution: Implement…"
Product Security - Envestnet,"How You’ll Contribute As a Consultant Product Security, you will guide the organization in designing and implementing secure software development practices by collaborating with development, DevOps, and operations teams to embed security throughout every phase of the software development lifecycle (SDLC). Your responsibilities will include advising on application security scans, developing tool run books, and driving automation initiatives to enhance DevSecOps programs. You will also recommend …"
Battery Management Systems Engineer - Montra Electric,"The BMS Specialist with a focus on Battery Management System (BMS) application feature development and implementation for electric vehicles (EVs). This position involves leading the design, development, and validation of firmware that are critical for the real-time operation, control, and responsiveness of the EV’s battery systems. Qualification : Bachelor/Master's in Electronics/Computer science, or equivalent degree. Minimum of 5 years of experience in battery management systems development E…"
Application Security Engineer III - Black Duck,"Application Security Engineer III We’re seeking a Senior Application Security Consultant with deep expertise in software security, secure development practices, governance, and framework-driven transformation planning. In this role, you will lead client engagements to assess Application Security Programs (AppSec) against industry frameworks and deliver strategic roadmaps that help organizations build, scale, and measure their secure software development capabilities. This position blends strate…"
Engineering Manager - HDFC Bank,"Sr cloud native software developer responsible for building and maintaining stable cloud native business applications at scale while adopting the best agile development practices15 years of software engineering experience in financial services domain Architecture, Cloud Native Development Lead – Agile Practice, Technical Leadership, Consulting 15 years of experience ~5 years of experience as a senior architect: designing and leading development of financial applications performing at scale ~3 y…"
Manufacturing Execution System Software Engineer - Razorleaf International,"Razorleaf is hiring! Company Description https://www.razorleaf.com/ Razorleaf Corporation is a software and engineering services company that specializes in Product Lifecycle Management (PLM), Manufacturing Execution Systems (MES), and related technologies. We were founded in 2000 in the United States and have offices spread throughout the USA. We have locations globally - in India, the Netherlands, Belgium, and the United Kingdom. We offer a range of services to help businesses optimize their …"
Artificial Intelligence Engineer - Dexian India,"Job title: AI Engineer Location: Remote (but have to be located in Bangalore, Hyderabad or Chennai) Artificial General Intelligence (AGI) Data Services is at the forefront of AI innovation, specializing in the development and refinement of large language models (LLMs). Our mission is to create AI systems that can understand and generate high-quality code, revolutionizing the software development landscape. Job Description: As an LLM Evaluation Expert specializing in Coding, you will play a cruc…"
Senior Software Security Engineer - Antal International,"Role - Senior Software Security Engineer/Lead Exp - 5 to 12 years Location- Pune (Balewadi) Work model - 5 day's work from office. Domain - Payments/Banking domain preferred Key Skills - Software Development Framework (SSDF), OWASP Top 10/ OWASP ASVS/ STRIDE, NIST Secure, Source code review, Threat modeling, Penetration testing, DevSecOps, AppSec tools, SAST/ SCA/ DAST/ container scanning and CI/CD Integration, Kubernetes security Budget - Max 30 LPA About the Role We are seeking a Software Sec…"
Senior Machine Learning Engineer - BrainChip,"At Brainchip’s India Design Center (Hyderabad), we’re actively looking for senior AI/ML engineers to build software in embedded environments built around Brainchip SoCs/IP’s, to perform advanced AI tasks in various domains. Requirements: BTech/MS/MTech in Electronics/Electrical/Computer/Software Engineering 8-15 years of proven experience in software development, with at least 4 years in building AI/ML Software (building/training Models, Inference, performance metrics etc.) in any AI/ML environ…"
Flutter Development Lead - Tata Elxsi,"Experience: 7 years of hands-on experience in software development, with a strong focus on frontend app development, preferably in the media or OTT domain. Proficiency in Flutter SDK and Dart for developing cross-platform applications (iOS, Android, Web). Skills & Competencies: Must Have: 7 years of hands-on experience in software development, with a strong focus on frontend app development, preferably in the media or OTT domain. Proficiency in Java, Flutter SDK, OTT Streaming and Dart for deve…"
Automotive Engineer - Neurealm,We are looking for Automotive Engineers. Experience: 3 to 10 Years Locations: Kochi / Bangalore / Chennai / Pune Notice Period: Immediate joiners preferred. Primary Skills Strong hands-on experience in C++ programming and software development Proficiency in one or more scripting languages such as Python or Shell scripting Experience in test automation using Python or Shell scripting Solid experience in unit testing using tools such as VectorCast or Google Test (GTest) Strong problem-solving abi…
Sr. .Net programmer interested to lead a product into AI Transformation - Compliance Watchdog,"Company Description Compliance Watchdog, a product by e2o Health, is a leading solution provider in the healthcare sector, specializing in Credentialing Verification, Training, and Compliance services. Our sophisticated software platform, paired with expert service teams, helps healthcare organizations seamlessly manage and track compliance efforts. With a commitment to supporting industry growth, we deliver high-quality, reliable solutions designed to meet the dynamic needs of healthcare organ…"
Cyber Security Engineer - LSA Recruit,"JD: Must Have Skills Strong proficiency in Embedded C programming Strong Debugging Skills and Analytical thinking Basic understanding of CAN / J1939 concepts Device Firmware update software development experience and understanding of the concepts Secure boot concepts and working knowledge Knowledge of Data Link and Device Security concepts and algorithms is desirable Basic working knowledge of Automotive Ethernet, including: TCP/UDP SOME/IP HTTP Other Ethernet application-layer protocols Experi…"
Project Manager - Apro IT Solutions Pvt Ltd,"We are looking for a responsible and detail-oriented Project Manager to plan, coordinate, and oversee projects from initiation to completion. The candidate should ensure projects are delivered on time, within scope, and aligned with client expectations while coordinating with internal teams and international clients. Ideal candidate should have experience in website, eCommerce, app, software, and UI/UX project management. Key Responsibilities Handle end-to-end project coordination Manage websit…"
SDE 3  Lead Instructor - Full stack development - Newton School of Technology,"About Newton: Newton School of Technology (NST) is a new-age institution redefining technical education in India. Founded by IIT alumni, NST offers a 4-year B. Tech in Computer Science and AI, focused on hands-on learning and deep industry integration. Within two years, over 93% of students have secured paid internships with companies like Razorpay, SarvamAI, and DRDO, along with global exposure through tech treks to Singapore and Silicon Valley. Led by a distinguished faculty comprising ICPC W…"
SAP Business Analyst - RED Global,"SAP SD skilled IT Lead Analyst Lead Analyst for SAP SD One focused in logistic, the other in Customer experience / CRM SAP SD Business Analyst, SAP S/4HANA & ERP Management:, Software Design & Architecture, Data Analysis & Visualization, manage the Software Development Lifecycle (SDLC)."
Product Technical Analyst - EV - Infosys Finacle,"Job Title: Product Technical Analyst - EV Job Location: Bangalore Job Type: Hybrid Job Mode: Direct Experience Levels: 2y - 6y Interview Level: 1. Coding Assessment Test, 2. Technical Interview (Face to face interview offline). https://jobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=26209&siteid=5179&Areq=3362BR Upon successful completion, an auto generated reference number would be emailed to you. Kindly share your reference ID at arun.sekar05@infosys.com S…"
SAP Global Trade Services - EMRIOM SOLUTIONS,"Exp: Level 9 (6Yrs - 9Yrs) Location : Bengaluru Mode : Hybrid Job Description: As a Custom Software Engineer, a typical day involves designing and developing tailored software components that integrate seamlessly within larger systems or applications. The role requires continuous collaboration with various teams to ensure that solutions are scalable and meet evolving business requirements. Utilizing modern development frameworks and agile methodologies, the engineer focuses on enhancing system …"
Senior AI  Fullstack Engineer - Dignifiedme.com,"Company Description Dignifiedme specializes in connecting organizations with top-tier engineering talent in Embedded Systems, Electronics Design, and VLSI Design and Verification. We streamline the hiring process by offering access to a curated, vetted pool of engineers with exceptional technical skills and experience. Our expertise empowers organizations to address complex challenges, meet project deadlines, and achieve outstanding outcomes. Join Dignifiedme to experience the future of enginee…"
SAP Consultant - Ajiledone Technologies,"As a Custom Software Engineer, a typical day involves creating tailored software solutions by designing, coding, and improving various components within systems or applications. The role requires working with contemporary frameworks and following agile methodologies to ensure the delivery of scalable and efficient solutions that meet unique business requirements. Collaboration with team members and adapting to evolving project needs are integral parts of the daily workflow, fostering innovation…"
E-Software Design Senior Engineer - MinebeaMitsumi Technology Center India,"E-Software Design Senior Engineer Location: Bangalore Department: MTCI | Job Grade: E2 Experience Required: 5 years Work mode: Onsite (Work from office) (Monday to Friday) Qualification: Electronics & Communication Engineering (ECE) / Mechatronics Do you have hands-on experience with Embedded Software Design for automotive or industrial applications? Are you passionate about developing robust embedded software architectures and working in a global engineering environment? If yes, we would love …"
Software Developer - Unknown Company,"Hello all, We are looking for software developer. Sr. software developer -8 Skill Required - c#, oracle for desktop application Exp required: 2 to 8 yrs. Jr. software Developer-6 Fresher’s may also apply. Qualification: BCA/MCA/BE/ME (COMPUTER IT)/MSC IT/BSC IT SALARY: 7000/- TO 70000/- pm LOCATION: SURAT SEND YOUR RESUME ON hrvaibhavgems.co.in"
Software Developer - Teamified,"Teamified is looking for a talented and motivated Software Developer to join our growing team. In this role, you will be responsible for designing, developing, and maintaining software applications that meet the needs of our clients. You will work closely with project managers, designers, and other developers to ensure high-quality deliverables. Key Responsibilities: Develop and maintain high-quality software applications Collaborate with cross-functional teams to define, design, and ship new f…"
Software Developer - Customized Energy Solutions India,"Job Description We are seeking a talented Software Developer to join the CES engineering team. You will take end-to-end ownership of data pipelines, automation workflows, and AI-powered features serving energy clients across the US and India. You will bridge the gap between data engineering and intelligent application development, building reliable systems that power both our CoMETS US consulting platform and our India Trading platform. This role combines development expertise with operational …"
Software Developer - CrewBloom,"The client is an out-of-the-box thinking company striving to find new ways to help and support clients grow their imaging volume, reduce their costs, and increase their cash flow. They have partnered with several industry leaders to offer solutions covering a wide range of areas within outpatient radiology, including but not limited to workflow, revenue cycle, management, clinical trial program management, teleradiology, image viewers, peer review, and service portals. They are looking for a so…"
Application Security Engineer - WillScot,"Job Title: Application Security Engineer Level – 4 Location: Pune, India EQUIPE CONTAINER SERVICES INDIA PRIVATE LIMITED is a subsidiary of WillScot. At WillScot ( NASDAQ WSC ), our 4000 people are at the heart of everything we do. In addition to providing industry-leading pay and benefits, we provide opportunities for development and upward mobility, while investing in the communities we serve. We are the undisputed leader in providing innovative ﬂexible workspace and portable storage solution…"
Oracle Technical Consultant - KPG99 INC,"The ideal candidate will be responsible for conceptualizing and executing clear, quality code to develop the best software. You will test your code, identify errors, and iterate to ensure quality code. You will also support our customers and partners by troubleshooting any of their software issues. Responsibilities Detect and troubleshoot software issues Write clear quality code for software and applications and perform test reviews Develop, implement, and test APIs Provide input on software de…"
Lead Technical Support - Dover India,"About Dover: Dover is a diversified global manufacturer with annual revenue of over $7 billion. We deliver innovative equipment and components, specialty systems, consumable supplies, software and digital solutions, and support services through five operating segments: Engineered Products, Fueling Solutions, Imaging & Identification, Pumps & Process Solutions and Refrigeration & Food Equipment. Dover combines global scale with operational agility to lead the markets we serve. Recognized for our…"
Practice Director - AI Automation - Birlasoft,"Required Experience 15-25yrs About the job Area(s) of responsibility Job Overview We are seeking a highly skilled and experienced Test Automation - Lead Architect with expertise in Selenium and Playwright. The successful candidate will be responsible for designing and implementing automated testing strategies and frameworks, ensuring the highest quality of our software products. The role involves collaborating with the software development team to identify and prioritize software defects, devel…"
Software Developer/Sr. Software Developer - Puneet Group,"Responsibilities: 1. Develop and maintain software applications in line with the company's requirements. 2. Create dashboards and portals for the real estate company to enhance user experience and improve business operations. 3. Integrate APIs to ensure seamless data flow and functionality across different software applications. 4. Utilize app scripts or Google scripts for automation to improve efficiency and productivity. 5. Collaborate with the team to understand requirements, provide technic…"
PHP Developer - Suyog Electricals Ltd. ,"Job Title: Software Developer – (Full Stack Developer) Location: Vadodara, Gujarat (Onsite Only) Experience: 0 to 3 Years Company Name: Suyog Electricals Limited (SEPL Cables) – Cable Manufacturer. Employment Type: Full-Time, Onsite Job Summary: We are seeking a Software Developer with strong problem-solving skills and a passion for building robust, customized software solutions. This is a full-time onsite position based in Vadodara, Gujarat — local candidates only . The ideal candidate should …"
Software Developer/Senior Software Developer - ConsultBae,Role : Senior Software Engineer/Software Engineer Experience : 1-2 Year(s)/2-4 Year(s) Location : Bangalore Education : B. Tech(CSE)/similar field of study/equivalent practical experience Minimum qualifications: Software development experience in one or more general purpose programming languages. Experience working with two or more from the following: Mobile Application Development Distributed Computing Machine Learning Image Processing Developing Large Software Systems Working proficiency and …
Software Developer /Sr. Software Developer - Paulwin George ,"Roles & Responsibility Must Skills 3-5 years of experience in .Net Core development, including REST APIs, Razor Page UI and MVC development Experience on ASP.Net and .Net Framework Experience with front-end technologies such as HTML, CSS, and jQuery Strong knowledge on JavaScript Excellent problem-solving skills and attention to detail Work independently with minimal supervision. Good debugging skills. Contribute to technical design documentation & User Manual. Post production support to the pr…"
AUTOSAR BSW Diagnostics Development Engineer - UST,"Job Description: AUTOSAR BSW Diagnostics Development Engineer  Role Overview We are looking for an experienced AUTOSAR BSW Diagnostics Engineer with strong expertise in Diagnostics, Failure Management, and NvM development , along with hands-on experience in C++ and ASPICE-based automotive software development . Experience in ADAS (Video/Radar) product lines is highly desirable.  Qualification Bachelor’s/Master’s in Electronics / Electrical / Computer Science / Automotive Engineering  Experience…"
Java Project Manager - Intellect Design Arena Ltd,"Company Profile: About Intellect Design Arena Limited Intellect Design Arena Ltd is an enterprise-grade financial technology leader, providing composable and intelligent solutions for futuristic global financial institutions across 57 countries. Intellect’s revolutionary First Principles Thinking-based Enterprise Connected Intelligence Platform, eMACH.ai , is the most comprehensive, composable, and intelligent open finance platform in the world. With an impressive array of 329 microservices, 53…"
Senior Application Security Engineer - H&R Block India,"Role Summary: The Senior Application Security Engineer is responsible for ensuring the security of an organization’s products throughout their lifecycle. This role also consults with security adjacent stakeholders and business units to provide suggestions, education, guidance and feedback from a security perspective. Experience Range: 5-7 yrs Risk Assessment and Mitigation: Perform threat modelling application design solutions and vulnerability assessments to identify relevant risks, security g…"
SDE 1 - Frontend (Web) - Licious,"Software Development Engineer 1 – Frontend (Web) Location: Bengaluru At Licious , we’re building a technology-first food brand that delivers fresh meat and seafood to millions of customers. Our engineering team works on highly scalable systems that power a seamless and delightful customer experience. We are looking for a Software Development Engineer 1 – Frontend (Web) who is passionate about building fast, scalable, and user-friendly web applications. What You’ll Do Build and maintain high-qua…"
Test Equipment Engineer - HCLTech,"Mandatory Skills: ❖ Programming: ▪ C# / .NET: OOPs, WPF, data binding, MVVM, state management, Dependency Injection, Visual Studio IDE ▪ C & Python Programing ▪ Data acquisition & GUI development ▪ Source code version control (Bit Bucket) ❖ Communication Protocols: ▪ Serial (RS-232,422,485), Device Net, EtherCAT, Modbus, Digital IO, Analog IO, TCP/IP Socket, VISA. ❖ Hardware Skills: ▪ ATE, Data Acquisition using NI CDAQ and Beckhoff IOs, Electrical fundamentals (motion control) ▪ Knowledge of w…"
Senior Developer (VB.NET & PHP) - Protonlogics IT Solutions,"Senior Developer ( VB.NET & PHP) Location: Kharadi, Pune (onsite) Employment Type: Full-Time Permanent role SHIFT TIMING: 12:30 pm - 9:30 PM IST (UK Shift) Purpose of Role: As a hands-on member of the team, the role requires that you will be writing code for new, innovative, project solutions, within our applications and services, working as part of a wider team and competent in working on projects as the sole developer. Main Duties • Design, develop, test optimized solution within a VB/C#/MSSQ…"
Senior BigQuery Developer (Google Cloud Platform) - Vizual coders,"Company Description Vizual Coders is a dynamic team of experts with over 15 years of experience in software development and more than three years in no-code development. By leveraging cutting-edge technologies, we consistently provide solutions that increase revenue and productivity for businesses. Learn more about our passion for excellence at vizualcoders.com. Role Description This is a full-time hybrid role for a Senior BigQuery Developer specializing in Google Cloud Platform (GCP). The role…"
Senior Software Engineer (AI/ML) - H&R Block India,"Job Title: Senior Software Engineer Experience: 4 - 7 Years Work Location: Trivandrum What roles and responsibilities will be performed by the selected candidate? Design, develop, and maintain AI-enabled applications and services . Implement and optimize Generative AI workflows such as prompt engineering, embeddings, and orchestration. Collaborate with product managers, architects, and data scientists to deliver scalable solutions. Ensure application performance, security, and maintainability .…"
Technical Lead - CallBotics,"Company Description CallBotics is an enterprise-ready conversational AI platform with deep specialization in AI voice automation for high-volume, call-intensive workflows. Built on over 17 years of real-world voice operations experience , CallBotics helps organizations autonomously handle up to 80% of calls end-to-end , reducing call-related costs by 65–90% . The platform integrates seamlessly with existing CRMs, dialers, and workflow systems, enabling fast, low-friction deployment for enterpri…"
Software Developer - Dexoc - Software Development Company,"Microsoft .Net technology based Software programmer Skills:- Java, Data Structures, Algorithms, Scala, C++, C#, Cisco Certified Network Associate (CCNA) and Go Programming (Golang)"
software developer - BIGSCAL TECHNOLOGIES PVT LTD.,"We are seeking a highly motivated and talented individual to join our team as a Fresher Software Developer. As a software developer, you will be involved in the entire software development life cycle, from concept and design to testing and deployment. This is an excellent opportunity for recent graduates or individuals with limited professional experience to kickstart their career in software development. Responsibilities: Coding and Development : Collaborate with cross-functional teams to anal…"
Software developer - Cryt,"Job Title : Software Developer Location : India Company Name : Autojob.app About the Company: Autojob.app is a cutting-edge platform revolutionizing the job search process by automating applications, resume tracking, and follow-up communications. Designed for efficiency, it empowers users to apply for multiple jobs effortlessly while maximizing their chances of success. With features like real-time analytics, customizable tools, and global reach, Autojob is transforming how job seekers and empl…"
Software Developer - Diraa HR Services,"Job Description Software Developer A Software Developer is responsible for designing, developing, testing, and maintaining software applications that meet user needs and business requirements. They collaborate with cross-functional teams to build scalable, secure, and efficient systems. Key Responsibilities: Write clean, efficient, and maintainable code. Design and implement new software features and functionality. Debug, troubleshoot, and upgrade existing systems. Participate in code reviews a…"
Software Developer - Pioneer e Solutions,"Design and implement Java application phases. Participate in architectural and software development activities. Conduct software analysis, testing, programming, and debugging. Recognize the production and non-production application issues. Skills: Software Developement, Software Analysis, Software Tesing, Java Design Patterns, Software Programming, Java Application Experience: 2.00-3.00 Years"
Software Developer - Mount Talent Consulting,"Description We are looking for an experienced Software Developer to join our dynamic team in India. The ideal candidate will have a strong background in software development and be skilled in various programming languages and frameworks. You will be responsible for developing high-quality applications, collaborating with cross-functional teams, and ensuring the performance and reliability of our software solutions. Responsibilities Develop, test, and maintain high-quality software applications.…"
software developer - Bankbazaar.com,"A software developer's job description may vary depending on the organization and specific project, but generally, it includes: Bachelor's degree in computer science, software engineering, or a related field (sometimes, relevant experience can substitute for formal education). Proficiency in one or more programming languages and related technologies. Strong problem-solving skills and attention to detail. Knowledge of software development methodologies (e.g., Agile, Scrum). Familiarity with soft…"
Software Developer - International design & Engineering solutions pvt ltd,"Work with developers to design algorithms and flowcharts Prepare GUI dummy screens for proposed Software development using Excel VBA. (To Give a overview how the software buttons and flow of information should happen) Coordination with Software Developer team to explain the criteria Produce clean, efficient code based on specifications Integrate software components and third-party programs Verify and deploy programs and systems Troubleshoot, debug and upgrade existing software Gather and evalua…"
Software Developer - Siemens,"We are looking for Software Developer (C++ and embedded systems) , You'll make an impact by Software Developer with good knowledge on C++ Design, develop, and maintain software components for embedded systems and system-level applications. Architect software solutions with a focus on scalability, performance, and maintainability. Implement and maintain software modules in C and C++, following standard processes in coding, testing, and debugging. Use object-oriented programming principles to des…"
Software Developer - In-Net India,"DOTNET DEVELOPER We are looking for a Software Developer to build and implement functional programs. You will work with other Developers and Product Managers throughout the software development life cycle. In this role, you should be a team player with a keen eye for detail and problem-solving skills. If you also have experience in Agile frameworks and popular coding languages (e.g. Asp.net,vb.net,c#), we’d like to meet you. Your goal will be to build efficient programs and systems that serve u…"
